SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959
ESP.1.0.99.0.UBRA,ESP,1.0,0.0,99.0,0.0,UBRA,Spain,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,-0.00631,-0.00468,-0.00312,-0.00312,-0.0312,-0.0101,-0.11245,-0.12603,-0.14451,-0.22026,-0.23573,-0.21275,-0.21266,-0.15,0.0053,-0.24193,-0.51497,-0.69095,-0.86386,-0.81427,-1.30376,-2.31935,-2.64652,-2.80904,-3.13551,-2.5609,-2.15631,-2.14196,-2.98386,-2.94472,-3.4909,-4.31278,-5.34507,-3.52949,-7.43769,0.23784,-1.70477,-2.55867,-4.35312,-5.485,-4.632,-9.702,-8.492,-6.582,-8.017,-12.809,-18.619,-26.473,-30.905,-20.605,-15.743,-18.787,-8.413,-6.593,-3.685,-0.85,1.81,-0.494,0.436,1.205,2.059,8.248,6.001,-7.221,4.83782,6.23391,6.60323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA.1.0.99.0.UBRA,FRA,1.0,0.0,99.0,0.0,UBRA,France,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.34342,0.33946,0.5092,0.61824,0.64867,0.66978,0.64705,0.70998,0.621,0.46956,0.58367,0.78152,0.72133,0.65551,0.46873,0.74694,0.95923,0.81484,1.47412,2.2157,3.99925,3.80307,1.90509,-1.8977,-3.64803,-0.44416,3.83449,6.84016,6.36535,4.26511,4.1479,3.48686,4.9353,6.34966,4.7817,5.0379,11.72156,16.51122,18.35701,28.9795,24.8493,29.2562,18.1208,23.2789,25.1871,31.9571,38.7681,40.605,45.4003,46.3697,48.7195,57.397,48.542,50.6151,48.6269,44.5497,45.0356,46.4671,53.226,72.6241,46.6593,78.4455,74.0779,52.7592,57.99356,60.15633,62.40845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV.1.0.99.0.UBRA,HRV,1.0,0.0,99.0,0.0,UBRA,Croatia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014945,-0.045797,0.000551,-0.142595,-0.451456,-0.419988,-0.511959,-0.450902,-0.972934,-0.527127,-0.797777,-0.947856,-0.901391,-1.337509,-1.539085,-1.408834,-1.309399,-1.458163,-0.910171,-0.747073,-0.288121,-1.073032,-0.339773,-0.705981,-0.366448,0.569087,-0.564231,-0.592612,-0.583123,-0.258713,-0.275749,-0.275749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA.1.0.99.0.UBRA,ITA,1.0,0.0,99.0,0.0,UBRA,Italy,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.09089,0.08245,0.07628,0.08076,0.11516,0.20789,0.27818,0.24793,0.31724,0.40697,0.44945,0.50215,0.59959,0.32566,-0.5568,-0.3547,-0.53291,-0.34868,-0.31566,0.3633,0.64444,-2.09434,-2.79313,-2.53407,-2.92883,-3.85693,-5.93514,-4.96674,-5.08371,-7.4927,-14.78833,-17.98409,-20.07027,-16.12078,-17.62669,-10.90157,-10.00298,-5.01846,-6.23636,-2.2896,-4.7396,-3.9917,-6.0231,-6.724,-2.4026,2.3468,6.1431,1.2437,-15.165,-1.124,-3.53,-4.253,-2.0636,-2.787,0.001,-11.5044,4.618,9.411,19.15,14.38,21.256,20.436,18.502,-11.0926,-16.91816,-16.47485,-15.99513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP.1.0.99.0.UBRA,CYP,1.0,0.0,99.0,0.0,UBRA,Cyprus,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.006856,0.008622,0.009643,0.01069,0.011483,0.013315,0.007844,0.011141,0.010033,0.015529,0.017349,0.018833,0.021152,0.025817,0.027386,0.031069,0.030306,0.040385,0.0425,0.045511,0.05748,0.059216,0.066505,0.050062,0.05803,0.047653,0.038243,0.038461,0.042523,0.059065,0.071484,0.078137,0.067846,0.062785,0.049321,-0.051264,-0.033678,-0.351657,0.335451,-0.663585,-1.074393,-0.807731,-0.687425,-0.758935,-1.998713,-2.21524,-2.726976,-4.094989,-0.31172,-0.05199,-0.27804,0.52104,-0.13599,-0.23677,-0.47715,-0.12117,-0.7538,-0.61631,-0.78753,-1.25344,-1.50162,-2.2745,-2.33094,-2.99902,-3.411832,-3.540536,-3.708043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA.1.0.99.0.UBRA,LVA,1.0,0.0,99.0,0.0,UBRA,Latvia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001239,-0.001663,-0.006053,0.030129,0.030057,0.042761,0.041823,-0.066952,-0.010682,0.028322,0.017357,-0.051077,-0.241861,-0.142612,-0.434055,-0.677003,-0.311227,1.317914,0.180025,-0.021036,-0.154859,-0.051258,0.02735,-0.12159,-0.0344,-0.07409,-0.46475,-0.41756,0.01282,-0.60442,-0.63337,-0.92671,-0.902372,-0.943946,-0.98936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU.1.0.99.0.UBRA,LTU,1.0,0.0,99.0,0.0,UBRA,Lithuania,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006759,,-0.008705,-0.068567,-0.169003,-0.224275,-0.245182,-0.224145,-0.184626,-0.160372,-0.412886,-0.426742,-0.34938,-0.48655,-1.135,-1.03162,0.60774,-0.18227,-0.91598,-1.03906,-0.75772,-0.42644,-1.33118,-1.36182,-1.50868,-1.38251,-1.52179,-1.34689,-1.90055,-2.65709,-2.25861,-2.193033,-2.291542,-2.347635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX.1.0.99.0.UBRA,LUX,1.0,0.0,99.0,0.0,UBRA,Luxembourg,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.0,0.00151,0.00377,0.00377,0.00151,0.00377,0.01282,0.02652,0.03137,0.0292,0.02368,0.03172,0.03678,0.04979,0.09841,0.16643,0.26915,0.32562,0.35646,0.4379,0.51769,0.57636,0.66223,0.68893,0.78563,0.62271,0.53852,0.64727,0.56995,0.5644,0.7702,0.93446,0.94184,0.82572,0.39827,-1.4079,-1.91298,-1.96767,-1.15734,-2.4521,-2.4439,-2.4259,-3.7723,-4.7464,-3.3685,-3.9695,-8.2041,-7.5552,-9.4353,-11.2076,-13.5858,-13.5982,-10.7884,-13.872,-14.17,-19.3,-18.9638,-16.5366,-17.0902,-19.6146,-19.1534,-22.7661,-25.2474,-27.6915,-29.8767,-31.34092,-33.0867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN.1.0.99.0.UBRA,HUN,1.0,0.0,99.0,0.0,UBRA,Hungary,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.022228,-1.219995,-1.469312,-1.64017,-2.481857,-2.700054,-2.957884,-2.950289,-3.446237,-4.035595,-4.145583,-5.06889,-5.658616,-5.660184,-7.729249,-7.029061,-4.042405,-4.575798,-4.741814,-4.01941,-2.817626,-4.62904,-5.29492,-2.981461,-4.972114,-5.096157,-3.521984,-3.005397,-4.551579,-4.559763,-5.80988,-7.046125,-7.143452,-7.2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT.1.0.99.0.UBRA,MLT,1.0,0.0,99.0,0.0,UBRA,Malta,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.008965,0.00836,0.009904,0.010429,0.0107,0.011227000000000001,0.011505,0.012447,0.013532,0.015294,0.017115,0.017541,0.019311,0.016613,0.027218,0.038665,0.038117,0.039659,0.034481,0.026481,0.06776,0.098332,0.130582,0.106374,0.13927,0.093512,0.066943,0.068309,0.073129,0.085837,,,,,,0.064651,0.048756,0.059023,-0.001431,0.092363,-0.118177,0.071138,0.079015,0.024986,0.025979,-0.2219,-0.20009,-0.14898,-0.15664,-0.42171,-0.40323,-0.2896,-0.36217,-0.61138,-0.66816,-0.70882,-1.20801,-0.92756,-1.2566,-1.37472,-1.62228,-2.04873,-2.541,-2.75351,-2.446705,-2.734826,-2.901294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
