subcategory,description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CP041,04.1,71.29,72.72,74.01,73.92,74.20,76.07,78.18,80.38,83.28,86.16,88.86,90.84,92.68,94.16,95.28,96.78,98.34,99.36,100.00,100.32,100.51,100.25,100.67,101.06,101.92,102.60,104.78
CP043,04.3,65.37,66.45,66.12,63.92,66.00,68.46,70.62,73.02,75.42,78.00,80.91,83.92,86.16,88.01,90.09,93.61,95.53,98.69,100.00,101.08,102.59,104.58,106.59,108.16,110.73,116.35,122.72
CP044,04.4,60.41,62.36,63.49,64.42,65.12,66.43,68.18,70.54,73.64,76.77,80.12,82.39,85.60,87.89,90.84,94.09,95.82,98.47,100.00,100.98,102.41,103.70,104.02,105.05,106.04,108.37,113.71
CP045,04.5,59.28,57.78,56.15,60.17,61.00,60.72,62.22,63.64,68.17,72.88,74.28,81.37,76.65,81.70,90.09,95.05,98.73,100.57,100.00,98.53,102.17,108.85,112.24,110.01,120.19,149.11,162.47
CP041,04.1,1.4,2.0,1.8,-0.1,0.4,2.5,2.8,2.8,3.6,3.5,3.1,2.2,2.0,1.6,1.2,1.6,1.6,1.0,0.6,0.3,0.2,-0.3,0.4,0.4,0.9,0.7,2.1
CP043,04.3,1.9,1.6,-0.5,-3.3,3.3,3.7,3.2,3.4,3.3,3.4,3.7,3.7,2.7,2.2,2.4,3.9,2.1,3.3,1.3,1.1,1.5,1.9,1.9,1.5,2.4,5.1,5.5
CP044,04.4,3.9,3.2,1.8,1.5,1.1,2.0,2.6,3.5,4.4,4.3,4.4,2.8,3.9,2.7,3.4,3.6,1.8,2.8,1.6,1.0,1.4,1.3,0.3,1.0,0.9,2.2,4.9
CP045,04.5,0.7,-2.5,-2.8,7.2,1.4,-0.5,2.5,2.3,7.1,6.9,1.9,9.6,-5.8,6.6,10.3,5.5,3.9,1.9,-0.6,-1.5,3.7,6.5,3.1,-2.0,9.3,24.1,9.0
