SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CYP.1.0.99.0.UWCD,CYP,1.0,0.0,99.0,0.0,UWCD,Cyprus,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06465,3.23803,3.51319,3.70419,3.95106,4.29288,4.55904,4.92209,5.37573,5.74944,6.47881,7.04524,7.66569,8.37927,8.92285,9.25784,9.55106,9.40663,8.37187,7.90099,7.92914,8.2319,8.84001,9.55321,10.58221,10.57214,11.40803,12.77645,13.638,14.60591,15.24919,15.85777
LVA.1.0.99.0.UWCD,LVA,1.0,0.0,99.0,0.0,UWCD,Latvia,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4278,0.89091,1.44074,1.70008,2.09288,2.46762,2.67739,3.01504,3.56726,3.76607,3.88894,4.02772,4.47274,5.52796,7.14155,10.02569,11.7542,8.80408,7.64619,7.99898,8.8221,9.46734,10.09555,10.89371,11.55814,12.4683,13.87447,14.93385,15.01554,15.8691,17.87223,20.68029,22.49832,23.39825,24.21719
LTU.1.0.99.0.UWCD,LTU,1.0,0.0,99.0,0.0,UWCD,Lithuania,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59917,0.90374,1.47001,1.9151,2.50898,3.45299,4.16965,4.41615,4.88027,5.17135,5.79917,6.44313,7.30996,8.52002,10.2773,12.3259,14.35507,11.98683,11.47312,12.28698,12.97338,13.74687,14.61904,15.65783,17.01122,18.56025,20.38225,22.64462,23.82572,26.97046,31.41116,35.77629,39.35392,41.91192,44.00752
LUX.1.0.99.0.UWCD,LUX,1.0,0.0,99.0,0.0,UWCD,Luxembourg,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,0.23125,0.24105,0.25592,0.27865,0.32689,0.34816,0.37255,0.38317,0.4219,0.45942,0.54503,0.61437,0.72089,0.85319,1.13444,1.31106,1.54299,1.79751,1.93644,2.08814,2.28368,2.46561,2.43541,2.55726,2.76108,2.96588,3.28872,3.58856,3.81346,4.30744,4.83496,5.35344,5.95256,6.58765,7.18118,7.68497,7.94829,8.1715,8.62377,9.55427,10.65604,11.63848,12.45955,12.87171,13.6481,14.61204,15.84229,17.25097,18.56726,19.02172,19.73589,21.10747,21.90433,22.98006,24.04154,25.05809,25.99445,27.76546,29.70867,31.33706,32.25447,34.91046,38.18983,41.86771,43.50055,45.71908,48.05075
HUN.1.0.99.0.UWCD,HUN,1.0,0.0,99.0,0.0,UWCD,Hungary,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2705,17.6654,17.6768,15.9705,16.3152,18.4329,19.0893,19.857,22.7284,26.9189,31.6612,34.3066,38.0969,42.0282,41.9769,46.7249,49.0407,42.4272,43.5953,44.6072,44.7641,44.8412,45.3351,47.235,50.0577,54.7155,57.5106,62.0342,58.3486,62.5694,68.3294,80.5171,88.3899,93.6185,100.6833
MLT.1.0.99.0.UWCD,MLT,1.0,0.0,99.0,0.0,UWCD,Malta,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91573,1.02578,1.07618,1.10965,1.18588,1.29958,1.41946,1.5459,1.63696,1.74951,1.91685,2.07222,2.12432,2.15162,2.19327,2.24665,2.39684,2.52351,2.70492,2.76088,2.89645,3.09465,3.27261,3.49735,3.74783,4.12925,4.53008,4.95104,5.64641,6.17935,6.43173,6.91409,7.54809,8.18995,8.92705,9.59657,10.14358
NLD.1.0.99.0.UWCD,NLD,1.0,0.0,99.0,0.0,UWCD,Netherlands,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,5.669,6.4083,7.0886,7.9074,9.4367,10.6914,12.0281,13.189,15.0526,17.5537,20.1001,23.3704,26.5928,32.362,40.6614,46.5455,54.8757,63.3279,69.8666,75.3731,79.7294,81.091,88.7073,92.5925,93.5322,97.5647,106.4498,113.2337,116.3558,119.9325,128.715,136.7889,147.1525,158.2469,163.3681,173.8265,177.1234,181.0507,193.2672,209.646,226.797,239.194,251.188,257.981,261.726,265.911,274.752,290.622,307.808,312.32,311.9,319.887,324.274,325.151,328.743,330.994,342.642,354.478,372.9,393.062,406.33,423.799,454.769,489.593,523.8645,550.0577,572.06
AUT.1.0.99.0.UWCD,AUT,1.0,0.0,99.0,0.0,UWCD,Austria,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,2.7868,3.0737,3.3395,3.5975,3.9595,4.3601,4.8052,5.2265,5.7344,6.2943,6.8889,8.0826,9.2722,11.6747,14.9804,17.0895,20.244,23.7355,26.5011,28.4428,31.2553,34.1165,37.7746,40.9272,43.7199,46.5314,51.5488,55.0479,57.1185,60.7598,66.0626,71.6726,77.6396,84.4825,88.6861,94.3183,93.7035,92.6383,95.8952,100.1176,103.6259,105.8566,107.8192,110.2441,112.9958,116.6014,122.2118,128.3535,135.556,136.2474,138.8937,144.4081,150.282,154.5017,158.71,163.6314,170.0109,175.9659,184.9181,192.6681,192.0839,201.4164,217.424,234.8295,252.4417,262.0345,271.2057
POL.1.0.99.0.UWCD,POL,1.0,0.0,99.0,0.0,UWCD,Poland,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4811,18.9127,33.734,36.9787,43.3898,51.8926,59.3837,65.9944,67.3792,76.8206,89.3801,84.417,75.3222,76.4972,91.0489,101.05,116.191,142.0948,119.8727,138.1168,142.2524,145.8909,148.2777,155.4928,161.835,165.1998,181.9276,196.9614,212.9368,215.3392,225.9268,250.0256,290.9033,342.9132,363.0342,383.5457
PRT.1.0.99.0.UWCD,PRT,1.0,0.0,99.0,0.0,UWCD,Portugal,01 Compensation of employees,Compensation of employees: total economy ,Mrd ECU/EUR,1.5312,1.6528,1.7543,1.9207,2.1088,2.3657,2.6302,3.0443,3.4222,3.8378,4.4506,5.0743,5.7826,6.8905,9.1579,11.3237,12.3003,11.1398,10.1837,10.0364,12.3072,15.3729,16.7364,15.7514,15.0796,16.1253,17.129,18.2267,20.2974,24.178,27.577,33.3891,40.0474,39.4131,38.9054,42.5919,45.8396,49.0597,52.7876,57.0795,61.8204,65.3948,68.4224,69.8321,72.3617,75.7815,77.8954,81.0652,83.6769,83.6551,85.2091,82.0251,75.7441,76.6033,76.7072,78.6462,81.2941,85.9003,91.5219,96.9575,96.895,103.7562,113.6042,126.2311,136.0771,142.3367,148.4572
